"나이","체지방률","악력","앞으로굽히기","윗몸일으키기","멀리뛰기","등급","bmi"
45,30.9,34.1,19,30,155,"A",25
59,30.2,36.8,29.1,25,122,"A",25.8
50,24.4,30.8,24.4,30,143,"A",22.4
28,24.5,37.2,23,37,145,"A",20.3
25,21.7,29.3,26.6,50,190,"A",22
23,29.6,28.1,25.5,48,178,"A",22.3
59,33.6,29.6,22.4,23,135,"A",24.8
21,23.5,27.5,29.4,39,175,"A",19.4
41,21.7,23.1,28.6,46,165,"A",20.4
24,24.5,28.5,22.9,57,197,"A",18
25,26.5,22.8,29.8,41,155,"A",19.9
21,16.9,26.5,29.4,41,215,"A",17.8
29,29.2,29.7,23.7,44,183,"A",19.7
25,30.7,25.7,21.1,47,159,"A",20.2
24,19.3,31.8,21.6,50,204,"A",18.3
27,19.5,27.3,28,37,173,"A",18.6
23,21.7,27,31.7,44,186,"A",20.1
29,15.2,30.7,29.7,48,186,"A",19
22,27.1,34.9,22.6,37,148,"A",23
61,30.9,27.5,21.1,27,140,"A",24.4
40,22.5,26.9,26.3,36,174,"A",19.5
23,31.7,32.9,28.8,43,164,"A",21.4
22,18.9,27.9,23.3,39,168,"A",18
54,27.9,27.9,23,35,145,"A",24.4
41,20.6,27.4,22.6,38,178,"A",19.5
22,16,30,27.1,54,202,"A",18.6
22,23.2,28.5,23.1,43,198,"A",21
23,17.2,25.2,21.5,47,178,"A",18.3
37,17.3,16.2,23,35,167,"A",17
24,23.7,39.1,23.8,47,186,"A",25.1
26,32.6,26.9,20.6,43,128,"A",21.6
56,23.2,25,28,41,186,"A",21
32,25.5,28.2,24.5,36,183,"A",20.8
21,22.7,25,21.4,41,163,"A",19.5
59,29.6,25.1,28.6,42,148,"A",21.7
36,25.9,27.4,18.9,40,186,"A",19.4
56,23.2,24.4,23.6,27,149,"A",21.4
27,29.4,26.8,19.9,51,183,"A",21
22,31.3,33.5,27.8,38,181,"A",25
39,30.8,25.2,19.6,32,167,"A",19.9
45,30.7,25,21.7,35,137,"A",23.3
50,29.1,21.6,20.5,33,164,"A",20.7
40,16.6,28.7,25.7,32,162,"A",19.9
40,16.1,27.9,27.6,32,185,"A",17.9
26,20.7,30.3,26,40,173,"A",20.6
37,25.9,33.4,20.4,35,190,"A",21.8
33,33.4,27.6,30.4,42,175,"A",20.4
26,23.9,24.2,22,52,160,"A",20.2
64,27.1,22.7,20.9,29,126,"A",20.6
38,26.5,32.4,21.8,37,170,"A",22.9
27,24.3,29,24.5,64,173,"A",21.6
28,19.5,25.2,20.8,47,210,"A",21.7
54,29.9,30.9,23.6,37,168,"A",24.8
36,24.17116,27.5,20.8,32,159,"A",20.7
24,29.1,29.6,22.1,54,187,"A",22.8
22,20.8,24.9,22.4,46,182,"A",19.2
26,28.2,35.9,18.6,41,166,"A",23.4
28,24.3,23.6,24,43,173,"A",19.2
28,22.4,26.4,19,52,157,"A",20.7
30,34.3,29,20.5,41,170,"A",21.8
56,28.5,24.7,25.7,25,139,"A",19.7
22,22.7,27.5,29.1,40,185,"A",19.7
24,20.3,28.3,24.6,47,168,"A",20.4
32,31.7,23,19.7,33,104,"A",22.9
21,29.7,26.5,19.9,47,175,"A",23.7
35,23.9,21.9,24.5,34,149,"A",20.1
26,18.3,33.3,25,37,161,"A",20.4
35,18.2,29.7,28.6,38,168,"A",19.8
31,19.2,27.4,25.4,57,211,"A",18.9
36,19.5,27.1,19.1,43,185,"A",21.3
26,31.3,32.5,21.9,42,177,"A",24.4
29,22,29.2,19.4,44,197,"A",19.1
59,34.8,24.2,22.5,34,135,"A",23.5
25,35.8,26.6,19.3,35,156,"A",20.2
42,15.7522,38.5,26.2,50,184,"A",24.1
23,27,29.3,21,41,182,"A",20.6
27,29.1,34,21.5,45,156,"A",21.2
26,19.3,27.9,25.5,40,184,"A",19.5
21,30.9,28.3,31.5,43,186,"A",20.9
25,25,26.1,25.4,41,175,"A",20.4
64,38.5,28.1,21.3,29,118,"A",28.2
27,31.1,25.7,18.7,37,165,"A",21.7
38,20.3,30.8,23.6,42,168,"A",23.3
23,18.7,30.1,24.2,39,216,"A",20.8
60,26.1,31.9,22.8,30,164,"A",21.4
26,32.5,34,26,50,173,"A",24.3
29,33.5,24.7,19.8,36,167,"A",21.7
25,20.1,29.8,20.7,44,186,"A",19.9
45,16,32.6,28.8,59,212,"A",19.8
27,23.3,29.1,20.1,41,201,"A",20.2
47,25.2,27.4,24.4,31,164,"A",20.3
21,28.4,24.6,21.1,56,166,"A",19.2
22,32.6,27.5,22.7,37,166,"A",22.8
39,26.3,30,20.9,36,185,"A",21
22,22.8,25.2,28.5,57,173,"A",18.8
28,21.7,39.6,23,39,185,"A",28.1
24,21.8,29.6,24.7,46,164,"A",18.5
60,29,30.1,29.6,28,152,"A",23.9
26,26,27.8,22.1,37,159,"A",20.3
23,28.3,23,21,48,127,"A",20.4
24,24.5,26.8,20.9,52,180,"A",21.2
24,17.7,22.6,31,50,198,"A",18.2
57,23.7,27.6,21.8,35,140,"A",22.3
28,27.9,32.6,20.9,44,186,"A",21.4
44,28.3,28.6,19.9,38,138,"A",23.5
28,18.5,31.4,18.5,36,198,"A",21.8
37,24.4,29.1,21.7,37,170,"A",21
24,26.2,31.8,26.3,46,161,"A",20.3
21,19.3,28.5,28.9,55,185,"A",20
33,29.9,30.4,20.5,39,186,"A",22.7
22,20.2,29.7,21.8,52,214,"A",19.5
59,29,24.3,21.4,24,122,"A",20.4
28,23.3,28.2,23.7,53,165,"A",19.6
21,22.7,32.8,20.7,41,185,"A",17.8
23,33.8,28.1,30.1,44,172,"A",25.8
21,24.7,24.7,22.6,45,176,"A",20
