CENTER_SD_CD,CENTER_SD_NM,CENTER_SGG_CD,CENTER_SGG_NM,TEST_YEAR,TEST_ALL_CNT,MEMB_CNT,AGE_GBN_CHILDREN_CNT,AGE_GBN_YOUTH_CNT,AGE_GBN_ADULT_CNT,AGE_GBN_CITIZEN_CNT,INPUT_GBN_ADMIN_CNT,INPUT_GBN_INBODY_CNT,TEST_GBN_GENERAL_CNT,TEST_GBN_TRIP_CNT,TEST_SEX_M,TEST_SEX_W,CERT_GBN_GOLD,CERT_GBN_SILVER,CERT_GBN_BRONZE,CERT_GBN_PARTICIPATION,TEST_AGE_YOUNGER10,TEST_AGE_TEENAGERS,TEST_AGE_TWENTIES,TEST_AGE_THIRTIES,TEST_AGE_FORTIES,TEST_AGE_FIFTIES,TEST_AGE_SIXTIES,TEST_AGE_OLDER70
11,서울,11440,마포구,2022,192,184,0,3,76,113,192,0,192,0,132,60,14,41,47,90,0,3,1,7,4,18,119,40
11,서울,11710,송파구,2010,2,2,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0
11,서울,11710,송파구,2011,82,1,0,0,82,0,0,0,82,0,48,34,7,16,30,29,0,1,28,26,20,6,1,0
11,서울,11710,송파구,2014,1476,96,0,47,1124,305,1178,0,1453,23,590,886,24,126,328,998,0,83,265,207,182,262,334,143
11,서울,11200,성동구,2022,138,135,0,4,84,50,138,0,138,0,89,49,10,30,47,51,0,5,10,7,2,25,69,20
11,서울,11740,강동구,2022,258,240,0,2,170,86,256,0,258,0,202,56,17,55,77,109,0,4,18,6,19,43,128,40
11,서울,11440,마포구,2021,23,23,0,1,14,8,23,0,23,0,16,7,3,7,5,8,0,3,8,1,1,0,5,5
11,서울,11650,서초구,2022,196,191,0,6,128,62,196,0,196,0,123,73,15,47,52,82,0,9,27,14,13,39,77,17
11,서울,11200,성동구,2014,5587,177,0,629,3406,1552,1554,0,3786,1801,1972,3615,240,644,1107,3596,0,869,1427,368,445,641,812,1025
11,서울,11650,서초구,2020,134,132,0,6,112,16,75,59,84,50,107,27,7,14,39,74,0,26,81,1,2,3,12,9
