"나이","성별","키_cm","몸무게_kg","체지방율","윗몸일으키기","등급"
1,0,165,55.8,15.7,53,4
2,0,169.2,65.4,19.3,68,4
2,1,159,63.1,30.9,30,4
1,0,179.9,71.5,9.7,61,4
3,1,155.9,62.7,30.2,25,4
3,1,159.8,57.1,24.4,30,4
1,1,159.5,51.54,24.5,37,4
2,0,177.5,79.5,23,62,4
2,0,178,84.5,21.2,62,4
1,1,161.8,57.7,21.7,50,4
1,0,180.1,82.1,15,55,4
2,0,169.8,75.4,14.7,55,4
1,0,180.1,65.9,14.4,56,4
1,1,162.4,58.9,29.6,48,4
2,0,179,75,10.7,54,4
2,0,171.5,80.5,21.5,53,4
3,1,156.3,60.5,33.6,23,4
1,1,161.3,50.6,23.5,39,4
2,1,158.1,51,21.7,46,4
1,1,159,45.5,24.5,57,4
2,0,178.4,79,15.4,68,4
2,0,178.5,78.4,13.8,64,4
1,0,171.2,65.1,11.8,54,4
2,0,166.7,65.7,21.5,54,4
1,1,156.3,48.6,26.5,41,4
1,0,176,67.2,10.8,55,4
2,0,172.8,78.8,19.3,59,4
2,0,179.2,64.7,12.9,46,4
2,0,184.7,84.18,16.3,56,4
1,0,183.5,76.9,15.7,56,4
1,0,178.2,75.1,15.9,55,4
1,1,164.4,48.1,16.9,41,4
1,1,162.2,51.7,29.2,44,4
2,0,178.3,93.5,27.3,47,4
1,1,160.1,51.7,30.7,47,4
1,1,165.1,49.9,19.3,50,4
1,1,160.3,47.8,19.5,37,4
3,0,170.1,61.5,22,40,4
1,1,164.4,54.3,21.7,44,4
1,1,166.7,52.84,15.2,48,4
3,0,173,68.4,11.4,52,4
1,1,162.2,60.4,27.1,37,4
3,1,160.9,63.1,30.9,27,4
3,0,172.5,76,23.1,41,4
2,1,162.5,51.4,22.5,36,4
1,0,169.6,64.5,10.9,65,4
1,1,163.8,57.5,31.7,43,4
1,0,167.3,61.4,16.4,67,4
2,0,176.8,80.9,22.7,45,4
2,0,172,71,18.1,52,4
2,0,166.5,71.5,26.6,47,4
1,0,183.4,83.6,14.1,51,4
1,1,167,50.3,18.9,39,4
3,1,148,53.4,27.9,35,4
2,0,178,84.66,18.9,47,4
2,1,160,50,20.6,38,4
1,1,169.2,53.2,16,54,4
1,1,162.1,55.1,23.2,43,4
1,1,161.8,47.8,17.2,47,4
2,1,149.5,38.1,17.3,35,4
1,1,166.9,70,23.7,47,4
1,1,162.6,57.2,32.6,43,4
3,0,172.4,75.6,23.3,55,4
3,1,149,46.7,23.2,41,4
2,1,163.5,55.6,25.5,36,4
2,0,168,69.8,21.9,68,4
1,0,168.4,69.9,15,61,4
1,1,158.4,48.9,22.7,41,4
3,0,174.7,71.9,23.6,40,4
1,0,180.3,80.2,24.7,57,4
3,0,172.4,71.66,18.9,38,4
1,0,178.8,73.38,7.8,54,4
3,1,158.2,54.34,29.6,42,4
2,1,166.5,53.7,25.9,40,4
2,0,169,68.6,12.4,55,4
2,0,173.9,69.4,17.8,46,4
3,1,164,57.6,23.2,27,4
2,0,179.2,76.5,12.6,50,4
1,1,164.6,56.9,29.4,51,4
3,0,160.5,68.2,28.7,31,4
2,0,170.2,62.9,14.7,65,4
1,1,166,68.8,31.3,38,4
2,1,159.3,50.6,30.8,32,4
2,1,159.2,59.1,30.7,35,4
1,0,184,75.7,9.2,58,4
2,0,167,71.1,20,53,4
1,0,172.7,71.8,15.7,57,4
3,1,157.3,51.1,29.1,33,4
1,0,179.4,74.3,12.4,58,4
2,1,159.1,50.4,16.6,32,4
2,1,163.3,47.7,16.1,32,4
1,1,161.9,53.9,20.7,40,4
2,0,165.9,74.8,24.3,54,4
2,1,170,63,25.9,35,4
2,1,162.7,53.9,33.4,42,4
2,0,171.4,71.7,17.2,54,4
1,0,175,69.8,15,60,4
3,0,165.7,57.6,13.6,41,4
2,0,177.1,74.9,17,50,4
1,1,157.6,50.1,23.9,52,4
2,0,179.5,90.8,18.3,51,4
3,1,163.6,55.2,27.1,29,4
2,0,166.7,74.1,20.3,59,4
3,0,173.7,76.3,20.3,38,4
2,0,176.1,69.2,11.3,42,4
2,1,163.1,61,26.5,37,4
3,0,163.4,61.3,16.9,51,4
1,0,170.6,69.9,3,60,4
1,1,160.4,55.68,24.3,64,4
3,0,171.4,75,23.5,36,4
1,1,167,60.5,19.5,47,4
2,0,171.5,70.7,22.2,66,4
3,0,167.8,76.1,24.8,50,4
3,1,164.6,67.1,29.9,37,4
2,1,155.4,49.9,24.17116,32,4
1,1,160.4,58.7,29.1,54,4
3,0,163.9,57.6,20,33,4
1,1,152.9,45,20.8,46,4
2,0,177.3,77.5,15.5,58,4
1,1,164.5,63.2,28.2,41,4
1,1,159.5,48.8,24.3,43,4
1,1,160.6,53.3,22.4,52,4
2,1,167.2,61,34.3,41,4
1,0,173,66.8,12,63,4
2,0,170.6,71.7,9.7,65,4
3,1,159.5,50,28.5,25,4
1,1,163.2,52.4,22.7,40,4
1,1,164.9,55.4,20.3,47,4
2,1,151.2,52.4,31.7,33,4
1,1,164.2,64,29.7,47,4
2,0,168,62,12.2,54,4
1,0,179.4,78.6,16.5,56,4
1,0,184.9,73.9,10.2,67,4
2,1,154,47.6,23.9,34,4
1,1,170,58.9,18.3,37,4
2,0,181.5,98.5,22.8,56,4
2,0,167.8,68.8,14.8,60,4
2,0,180,85.08,13.1,57,4
2,0,164.7,56.1,14.1,48,4
1,0,181.2,94.72,15.8,53,4
2,1,156.4,48.5,18.2,38,4
2,1,159.3,47.9,19.2,57,4
3,0,163.5,53.8,17.3,44,4
2,0,175.2,71.5,12.6,47,4
2,1,158.5,53.56,19.5,43,4
1,1,160,62.4,31.3,42,4
2,0,175.1,76.2,19.7,48,4
2,0,168.5,68.2,19.6,54,4
2,0,168.4,63.38,19.4,51,4
1,1,160.7,49.24,22,44,4
3,1,163.3,62.54,34.8,34,4
1,0,171,67.3,11,57,4
1,0,176,80.5,12,61,4
2,0,166.9,73.6,26.6,53,4
2,0,170.4,66,17.1,55,4
1,1,163.8,54.2,35.8,35,4
2,1,165.4,65.9,15.7522,50,4
1,0,166,76.1,19.1,61,4
1,0,170.7,66.8,15.9,56,4
1,1,152.7,48.08,27,41,4
2,0,180.1,82.4,15.1,50,4
1,0,165.9,68.7,16.5,68,4
2,0,176.7,72.7,9.7,48,4
1,1,174.4,64.4,29.1,45,4
1,1,163.5,52,19.3,40,4
1,1,163.4,55.92,30.9,43,4
1,1,163.5,54.5,25,41,4
3,0,167.8,69.6,24.2,58,4
2,0,179,79,13.5,62,4
1,0,172.5,62.4,6.3,53,4
3,0,168.9,72.28,21.6,36,4
1,0,187,85.3,14.6,59,4
2,0,167.9,65.5,18.7,57,4
3,1,153.3,66.3,38.5,29,4
1,1,151.5,49.8,31.1,37,4
2,1,166.6,64.6,20.3,42,4
2,0,171.1,68.4,18.5,52,4
1,0,174.5,76.8,14.6,58,4
1,1,168.8,59.3,18.7,39,4
1,0,178,83.46,19.4,55,4
3,1,169.3,61.3,26.1,30,4
2,0,172.7,66.1,18.3,51,4
1,0,177.6,74.5,78.4,59,4
3,0,173.6,68.9,22.3,56,4
1,1,158.2,60.9,32.5,50,4
1,1,162.5,57.2,33.5,36,4
1,1,159,50.3,20.1,44,4
2,1,159,50.1,16,59,4
2,0,168.1,67.6,11.1,65,4
3,0,177.4,73.2,15.8,36,4
1,1,163.2,53.8,23.3,41,4
2,1,159.9,52,25.2,31,4
1,0,173.6,69.2,9,51,4
1,1,160.7,49.6,28.4,56,4
2,0,176.6,69.1,11.4,53,4
1,1,170.8,66.5,32.6,37,4
2,1,159.8,53.7,26.3,36,4
2,0,173.9,65.5,11.1,54,4
1,0,178.7,65.4,11.4,56,4
2,0,175,69.5,15.1,51,4
1,0,172,68.6,14.8,52,4
2,0,179,68.8,12.3,54,4
1,0,182.6,74.42,19.4,57,4
1,1,165.3,51.5,22.8,57,4
1,1,165,76.5,21.7,39,4
1,1,161.1,48.1,21.8,46,4
2,0,171.8,70.1,18.7,58,4
1,0,175.3,80.3,13.8,59,4
3,1,157.5,59.4,29,28,4
1,1,168.5,57.58,26,37,4
1,0,161.1,53.7,6.9,60,4
2,0,177,75,13.9,62,4
1,0,181.9,78.4,7.8,55,4
1,1,163.6,54.7,28.3,48,4
1,1,165.7,58.2,24.5,52,4
3,0,167.2,73.3,24.4,31,4
1,0,179.7,79,14.8,58,4
2,0,170.3,66.3,9.3,51,4
1,1,166.6,50.5,17.7,50,4
3,1,155.4,53.8,23.7,35,4
1,1,162.8,56.8,27.9,44,4
2,1,164.5,63.6,28.3,38,4
1,1,171.5,64,18.5,36,4
1,0,168.8,87.3,20.6,68,4
1,0,175.2,73.9,11,58,4
2,1,166.4,58.2,24.4,37,4
1,1,160.4,52.2,26.2,46,4
2,0,173.8,73.2,12,50,4
1,1,148,43.7,19.3,55,4
2,0,182.7,80,17.2,46,4
2,1,165.2,61.9,29.9,39,4
1,0,179.8,76.44,11.8,62,4
1,0,178.3,76.8,3,68,4
1,1,167.9,54.9,20.2,52,4
2,0,168.9,79.6,19.1,50,4
3,1,161.4,53.2,29,24,4
1,1,165.1,53.4,23.3,53,4
1,1,171.5,52.5,22.7,41,4
1,1,159.5,65.6,33.8,44,4
2,0,169.5,69.1,17.2,47,4
2,0,171.7,60.8,19,53,4
1,1,164.5,54.02,24.7,45,4
3,0,169.3,72,20.2,44,4
2,1,161.5,48.3,21.8,32,4
1,1,170.6,68.1,28.9,42,4
1,0,174,64.9,16.5,52,4
2,0,170.1,68.68,22,51,4
1,0,172,74.3,16.6,68,4
2,0,181.3,79.2,22.4,47,4
2,0,172.6,88.4,23.1,51,4
3,0,172.7,70.56,20.8,40,4
1,1,168.5,56.2,22,46,4
1,0,178.4,77.9,27.5,52,4
3,1,156.4,59.5,30.2,20,4
2,0,173.3,69.3,21.9,45,4
1,0,182,78,9.8,52,4
1,1,155.6,55.9,31.4,56,4
3,0,172.3,71.7,18.9,42,4
1,1,167.4,64.62,32.1,42,4
1,1,158.1,56.3,27,42,4
1,1,168.6,55,19.8,38,4
1,1,152.6,47.6,20.9,46,4
3,0,172.6,65.2,19.6,42,4
3,1,156.4,54.3,27.5,43,4
3,0,171.9,78.1,24.7,40,4
3,0,160.7,58.9,19.1,44,4
1,1,157.2,48.32,17.5,43,4
3,1,153.1,46.4,26.2,25,4
3,0,167.9,77.1,27.9,43,4
2,1,159,49.5,15.8,44,4
2,1,166.5,64.4,23.3,29,4
1,0,172.5,63.7,6,62,4
1,1,156.4,48.7,27.8,37,4
2,1,160.6,50.9,22.4,42,4
1,0,178.6,74,12.8,62,4
2,1,158.1,65.26,38.8,36,4
1,1,160.2,61.3,26.9,55,4
1,1,161.6,61.3,19.2,40,4
2,1,160.7,60.8,32.3,38,4
1,0,180.6,77.46,7.6,61,4
2,0,164.3,36.5,19.3,52,4
3,1,165.3,68.6,32.1,17,4
2,0,170,73.1,14.9,66,4
3,0,168.1,71.1,17.2,47,4
1,0,174.7,79,19,74,4
2,0,178.2,70,15.8,45,4
1,0,176.9,76,11.7,68,4
1,0,178,70.5,11.9,65,4
2,0,174.2,72.8,13.2,62,4
2,0,176,71.6,16.1,42,4
1,0,179.1,87.3,30.3,54,4
1,1,172.4,63.9,18,51,4
2,0,171,69.4,9.2,54,4
3,1,159.5,67.32,36,22,4
1,0,181.4,77.4,11.2,58,4
1,1,166.1,62.6,25,50,4
1,0,173.8,63.1,8.2,63,4
3,1,151.3,48.4,24.3,19,4
1,1,153.8,59.4,29.9,46,4
1,1,168.2,56.2,19.45304,37,4
1,1,169.6,58.3,29,33,4
2,1,156.1,63.4,29.5,44,4
1,0,176.4,86,9.3,62,4
1,1,169.6,59.4,22.4,43,4
1,1,159.9,45.7,24.1,50,4
3,1,163.3,51.34,30.5,24,4
1,0,179.7,78.2,16.2,53,4
1,1,162.8,57.9,33.6,44,4
2,0,171.5,73.2,17.4,53,4
1,1,158.5,51.3,25,43,4
2,1,155.3,48.3,26.5,33,4
1,1,160.6,57.2,24,45,4
2,1,163.7,56.8,30,50,4
2,1,163.6,56.3,13.9,40,4
2,0,167.7,68.8,14.8,62,4
2,1,157.6,46.9,22.8,41,4
1,1,163.9,56.5,26,34,4
3,0,176.5,69.5,16.5,33,4
1,0,176.2,73.3,13.9,57,4
2,0,172,68.3,15.1,59,4
1,1,172,60.5,20.7,37,4
2,0,170,61.9,16,53,4
1,1,172.7,72.8,28.9,59,4
1,0,172.4,79.6,14.8,52,4
2,1,168.5,57,28,32,4
1,1,156,50,18.2,35,4
1,1,159.1,55.3,27.9,34,4
1,1,164.3,53.1,19.9,60,4
1,1,155.5,54.66,24.7,37,4
2,0,175.3,73.4,19.5,45,4
1,0,171.8,68.18,17.9,58,4
1,1,172.5,60.7,22.6,57,4
2,1,166.2,59.6,16.1,36,4
1,0,169.5,75.2,24,58,4
1,1,162,63.1,20.3,50,4
2,0,170,70.3,13.9,56,4
1,1,172.7,61,24.6,56,4
1,1,164.6,53.6,21.3,41,4
1,1,160.7,56.6,19.3,59,4
2,0,175.8,71.3,14.5,48,4
1,0,171.4,71.4,24.4,59,4
2,1,162,51.4,27.9,35,4
2,0,167.4,63.8,19.08869,60,4
2,0,175.9,66.2,14.9,52,4
2,0,175.6,75.1,10.8,59,4
2,0,167.2,72.48,25.6,43,4
3,1,158.6,59.9,32.9,24,4
3,1,168.4,59,23.4,28,4
3,0,163.9,59.8,18.8,49,4
2,1,168.9,64.6,23.3,34,4
2,0,177.3,75.4,12.3,62,4
1,0,175,70.1,12.3,52,4
3,0,168.5,79.6,24.3,40,4
3,1,159.8,53.3,23.8,39,4
2,1,165.3,51.2,20.5,32,4
1,0,162.6,58.1,12.7,59,4
3,0,169.9,62.8,12.8,47,4
2,1,167.8,51.7,18.9,39,4
2,0,176,70.7,15.9,48,4
1,1,163,60.9,30,44,4
2,0,170.8,70.4,18.5,49,4
1,1,166.1,61.2,19.2,61,4
1,1,159.3,59.4,33.8,45,4
3,1,153.1,52.7,29.3,27,4
2,1,167,54.9,17.4,39,4
2,1,161.6,52.7,22.6,31,4
3,0,170,65.1,15,34,4
2,0,180.2,68.4,14.5,49,4
1,0,169,67.5,13.8,61,4
1,0,179,84.2,27.4,56,4
1,1,170.8,59.72,23.2,40,4
2,1,156.3,61.7,29.7,41,4
1,1,161.2,57.9,24.3,53,4
2,0,176.3,64.7,13.09016,54,4
1,1,156.1,49.7,18.1,35,4
1,1,164,53.9,20.3,49,4
2,1,162.5,57.8,27.6,43,4
1,0,177.5,77.84,19.5,60,4
1,0,174.8,70.5,12.6,64,4
1,0,171.4,73.9,10.2,60,4
1,1,163.7,58,25.6,43,4
3,0,168.2,66.9,24.4,31,4
2,0,172,69.4,13.88621,64,4
2,0,173.6,68.5,16.5,60,4
1,0,170.5,70.4,17.1,52,4
1,0,174.2,70,11.7,60,4
1,1,157.4,48.6,19.6,39,4
2,1,164.8,72.7,31.4,38,4
1,0,172,74.9,26.3,62,4
1,1,154.9,58.92,31.8,43,4
1,0,168,55.1,6.2,60,4
1,1,159.6,45.9,25.8,45,4
1,0,179.3,74.5,20.6,55,4
3,0,167.4,63.2,16.4,31,4
1,1,158.6,56.52,30.9,35,4
2,1,154.1,50.7,26.7,34,4
1,0,170.3,72.8,15.3,58,4
2,0,170.2,62.5,14,59,4
1,0,181.7,91.76,11.7,58,4
1,0,172.9,71.4,14.4,58,4
1,0,171.6,71.1,19.2,60,4
1,1,158.3,53.1,26.5,42,4
2,0,171.8,55.8,11,41,4
1,1,161.7,55,22.4,48,4
1,0,184,81.8,8.5,62,4
2,1,169,53.3,19.8,32,4
2,0,176.9,78.1,17.8,46,4
2,0,163.8,66.1,17.3,65,4
1,0,181.1,97,26,58,4
1,1,163.9,53.2,25.5,43,4
2,0,183.1,85.9,21.2,57,4
1,0,176.7,71.5,15.5,60,4
1,1,159.9,54.1,24.4,38,4
1,1,164.1,58.3,29.7,47,4
2,0,167,62,18.7,45,4
1,0,176.4,95.4,21.1,56,4
1,1,161.8,56,21.8,62,4
3,1,160.2,54,26.3,20,4
3,0,170.8,70.1,24.1,41,4
2,1,163.3,61.8,23.5,35,4
1,0,171.5,72.9,19.5,52,4
1,0,178.2,80.3,16.4,59,4
2,0,165.3,77.1,21.1,58,4
1,0,171.9,65.2,12.3,59,4
3,1,166.6,55.5,31.5,31,4
2,0,174.6,77.7,20.3,47,4
3,1,163.4,56.7,34.5,21,4
2,0,186,94.6,16.1,55,4
1,1,153,44.7,30.5,47,4
1,1,157.9,58.7,32,40,4
1,1,175,70.5,30,37,4
1,0,174.7,72.1,15.5,57,4
2,0,173.9,76.64,20.8,59,4
1,1,167.2,58.16,20.9,36,4
1,1,176.2,56.9,21.1,42,4
3,1,155.3,58.2,32,24,4
1,0,165.2,67.2,23.1,55,4
1,1,165.4,47.4,18.4,36,4
2,1,155.5,49.2,20.8,55,4
2,0,171.1,55.4,10.06304,49,4
2,0,184,87,19.6,52,4
3,0,159,64.8,26.3,31,4
1,0,164.6,70.8,20.8,56,4
1,1,163,63.9,27.9,43,4
3,1,159.9,59.5,25.2,32,4
1,1,158.3,61.2,31.9,42,4
1,1,161.8,52.4,20.3,67,4
1,0,170.4,68,10.5,57,4
3,1,154.1,60.1,33,25,4
1,1,167.9,66.7,33.1,51,4
2,0,164.6,63.1,13.6,64,4
3,1,157.6,56.9,36.5,20,4
1,1,172.1,59.2,21.6,53,4
1,0,180.1,72.4,13.8,52,4
1,0,177.9,59.7,13.1,70,4
1,0,172.4,67.98,14.4,59,4
2,1,165.7,55.3,27.8,28,4
2,0,182,91.6,27.5,50,4
1,1,154.6,54.8,35.2,44,4
2,0,166.2,62.7,18.8,62,4
3,1,154.7,60.34,37.3,25,4
1,1,158.6,47.3,21.2,38,4
1,0,169.9,73.9,12.9,65,4
1,0,178.2,74,21.3,52,4
1,1,169,63.4,27.6,61,4
1,1,165.7,51.94,19.1,42,4
1,1,159.8,62.68,34.3,41,4
1,0,171.7,77.6,14,53,4
1,0,178,79.6,12.5,66,4
1,1,173.8,61.9,23.5,41,4
2,1,160,51.5,21.2,34,4
2,0,178,67.5,16.7,53,4
1,0,175.7,71.8,12.8,62,4
1,0,168.9,66.8,20.7,54,4
3,0,173,67.4,20.9,41,4
1,1,165.2,58.5,31.6,33,4
1,1,157.3,48.5,25.7,43,4
1,0,178.6,67.6,13.4,55,4
1,1,161.7,63.3,32.8,41,4
1,1,163,54.2,19.2,36,4
2,0,173.1,74.7,16.6,59,4
1,1,172.4,65.16,29.3,40,4
1,1,158.5,53.32,23.1,43,4
1,0,170.9,70.9,18.4,53,4
1,1,149.9,48.4,31.2,42,4
2,1,159.6,47.9,25.2,31,4
1,0,169.7,64.9,15.9,57,4
2,0,179.2,89.5,20.2,45,4
2,1,163.5,55.6,21.9,34,4
2,1,170.5,54,21.2,52,4
1,1,176.6,54.8,23.7,41,4
2,0,174.2,77,13.7,60,4
1,1,158.4,53.7,33.9,40,4
2,0,169.5,70.6,15.6,50,4
3,0,171.2,51.7,16.5,39,4
2,0,172.8,80.1,19.2,49,4
1,1,161.1,50.6,24,51,4
1,1,167.4,55.5,24,49,4
1,1,158,57,29,46,4
2,0,181.6,73.4,14.6,55,4
3,0,160.7,59.7,17.2,51,4
1,0,172.9,72,11.9,56,4
2,0,171,69.3,18.8,48,4
1,0,175.7,77.2,12.1,60,4
1,1,169.8,67,30.1,39,4
2,0,177.3,82.32,22,48,4
3,1,163,55.4,22,32,4
2,0,181.1,75.4,9.8,63,4
1,1,171.4,70.94,21.8,54,4
1,0,170.8,68.8,14.7,59,4
1,1,162.4,55.8,26.4,45,4
1,0,181.4,83.1,19.5,53,4
2,1,167.7,56.2,11.2,44,4
2,0,171.6,58.5,11.3,42,4
1,1,172.9,65.4,20.4,50,4
2,0,171.1,66.3,13.8,55,4
1,0,171.4,79.8,18.7,66,4
3,0,166,62.5,12.1,48,4
1,0,175.9,81.1,27.8,56,4
3,0,168,59,21.1,37,4
1,0,170.5,64,13.2,73,4
3,0,167.3,72.96,21.5,47,4
1,0,175.5,72.6,7.4,55,4
2,0,176.6,58.88,11.2,41,4
1,1,155.6,47.9,22,44,4
1,0,165.2,62.8,18,55,4
1,0,167.2,69.5,22.4,60,4
3,0,176.5,75.48,19.5,32,4
1,1,161.8,58,28.3,44,4
2,1,160.6,67.78,34.1,47,4
3,1,153.3,51.6,28.3,29,4
2,0,176.9,72.4,25.3,44,4
3,1,166.8,56,18.3,31,4
3,1,156.4,52.8,32.8,34,4
2,1,158.9,49.2,21.8,42,4
3,0,172.5,81,22.8,40,4
2,0,174.9,80.2,23.5,53,4
2,0,173.3,64.76,14.4,48,4
1,1,156.5,60.8,32.3,34,4
1,0,166.8,70,13,60,4
1,1,163.2,70.2,31.8,47,4
1,1,163,54.7,21.3,66,4
3,0,170.9,69,19.2,34,4
2,0,180.2,87,22,42,4
2,1,162.7,51.1,23.9,33,4
1,0,178.6,78.5,23.7,60,4
2,0,174.9,79.9,20.7,76,4
2,0,178.3,76,14.9,47,4
3,0,159,62.3,20.4,44,4
1,1,157.8,44.8,26.8,38,4
2,0,178.5,70.1,17.4,52,4
1,1,169.3,68.1,29.8,33,4
1,1,156.3,50.7,24.7,60,4
3,0,171,66.2,15.6,41,4
1,0,169.6,68.5,15.7,59,4
2,0,174.8,69.4,13.6,59,4
1,0,179.4,77.6,16.5,54,4
1,0,183,91.5,14.2,52,4
1,1,164.5,54.6,21.9,40,4
3,0,162.6,68.7,17.7,34,4
2,0,173,74.7,12,76,4
1,1,173,66.2,27.3,43,4
2,0,174.7,75.2,21.2,46,4
3,0,183.6,83.9,21,46,4
2,0,177.1,67.8,14.1,56,4
2,0,169,72.3,23.6,46,4
1,1,154.7,62.4,29.9,49,4
1,1,157.1,48.6,32.8,43,4
1,1,160.7,59.38,31.5,37,4
