"이용일자","업종대분류","카드결제건수(천건)"
"20190101","가전/가구","  149 "
"20190101","가정생활/서비스","  189 "
"20190101","교육/학원","  142 "
"20190101","미용","  464 "
"20190101","스포츠/문화/레저","  1,752 "
"20190101","여행/교통","  260 "
"20190101","요식/유흥","  9,264 "
"20190101","유통","  11,307 "
"20190101","음/식료품","  1,192 "
"20190101","의료","  432 "
"20190101","자동차","  186 "
"20190101","주유","  1,782 "
"20190101","패션/잡화","  415 "
"20190102","가전/가구","  239 "
"20190102","가정생활/서비스","  566 "
"20190102","교육/학원","  551 "
"20190102","미용","  521 "
"20190102","스포츠/문화/레저","  1,409 "
"20190102","여행/교통","  182 "
"20190102","요식/유흥","  9,481 "
"20190102","유통","  12,162 "
"20190102","음/식료품","  1,241 "
"20190102","의료","  3,408 "
"20190102","자동차","  404 "
"20190102","주유","  2,093 "
"20190102","패션/잡화","  382 "
"20190103","가전/가구","  228 "
"20190103","가정생활/서비스","  552 "
"20190103","교육/학원","  491 "
"20190103","미용","  500 "
"20190103","스포츠/문화/레저","  1,355 "
"20190103","여행/교통","  189 "
"20190103","요식/유흥","  10,082 "
"20190103","유통","  12,042 "
"20190103","음/식료품","  1,285 "
"20190103","의료","  3,020 "
"20190103","자동차","  398 "
"20190103","주유","  2,114 "
"20190103","패션/잡화","  384 "
"20190104","가전/가구","  239 "
"20190104","가정생활/서비스","  463 "
"20190104","교육/학원","  426 "
"20190104","미용","  525 "
"20190104","스포츠/문화/레저","  1,430 "
"20190104","여행/교통","  197 "
"20190104","요식/유흥","  10,948 "
"20190104","유통","  12,463 "
"20190104","음/식료품","  1,376 "
"20190104","의료","  3,091 "
"20190104","자동차","  406 "
"20190104","주유","  2,203 "
"20190104","패션/잡화","  410 "
"20190105","가전/가구","  239 "
"20190105","가정생활/서비스","  441 "
"20190105","교육/학원","  294 "
"20190105","미용","  748 "
"20190105","스포츠/문화/레저","  1,937 "
"20190105","여행/교통","  273 "
"20190105","요식/유흥","  11,327 "
"20190105","유통","  13,251 "
"20190105","음/식료품","  1,499 "
"20190105","의료","  2,293 "
"20190105","자동차","  391 "
"20190105","주유","  2,106 "
"20190105","패션/잡화","  573 "
"20190106","가전/가구","  184 "
"20190106","가정생활/서비스","  210 "
"20190106","교육/학원","  188 "
"20190106","미용","  626 "
"20190106","스포츠/문화/레저","  1,739 "
"20190106","여행/교통","  252 "
"20190106","요식/유흥","  9,644 "
"20190106","유통","  12,117 "
"20190106","음/식료품","  1,126 "
"20190106","의료","  438 "
"20190106","자동차","  211 "
