mId,mRegion,mName,mTel,mAddress
1,서울,강동체력인증센터,02-488-9586,서울특별시 강동구 구천면로 297-5  (천호동) 천호아우름센터 2층 강동체력인증센터
2,서울,강북체력인증센터,02-980-0101,서울특별시 강북구 오현로31길 51  (번동) 3층 강북체력인증센터
3,서울,서대문체력인증센터,02-360-8569,서울특별시 서대문구 백련사길 39  (홍은동) 4층 국민체력100 서대문체력인증센터
4,서울,중구(서울)체력인증센터,02-2280-8500,서울특별시 중구 퇴계로 387  (흥인동) 충무스포츠센터 4층 중구 체력인증센터
5,서울,동작체력인증센터,02-591-0101,서울특별시 동작구 사당로27길 232 (사당동) 사당종합체육관 1층
6,서울,마포체력인증센터,02-337-7817,서울특별시 마포구 월드컵로25길 190  (망원동) 마포구민체육센터 내 4층
7,서울,KSPO송파체력인증센터,02-1644-7110,서울특별시 송파구 올림픽로 424  평화의 광장 편익동 A-1
8,서울,서초체력인증센터,02-591-5999,서울특별시 서초구 사평대로 55  (반포동) 서초구민체육센터 2층 실내체육관 국민체력100 서초체력인증센터
9,서울,성동체력인증센터,02-2286-7190,서울특별시 성동구 왕십리로5길 3  (성수동1가) 공공복합청사 4층 성동체력인증센터
10,서울,KSPO송파(출장A),02-410-1014,서울특별시 송파구 올림픽로 424  편익동 A-1 평화의광장 국민체력100 송파체력인증센터
11,서울,KSPO송파(출장B),02-410-1014,서울특별시 송파구 올림픽로 424  편익동 A-1 국민체력100 KSPO송파체력인증센터
12,부산,연제체력인증센터,051-710-7412,부산광역시 연제구 법원남로9번길 17  (거제동) 동해선 거제역 2층 연제체력인증센터
13,부산,동구(부산)체력인증센터,051-604-6030,부산광역시 동구 구청로 8  부산동구 국민체육문예센터 3층 국민체력100 체력인증센터
14,부산,스포원(금정)체력인증센터,051-550-1631,부산광역시 금정구 체육공원로399번길 324  (두구동) 스포원파크 테니경기장 센터코트 1층
15,부산,사상체력인증센터,051-326-0100,부산광역시 사상구 가야대로 196번길 51(학장동)  사상구국민체육센터 3층 사상체력인증센터
16,부산,사하체력인증센터,051-202-3500,부산광역시 사하구 감천로 68  (감천동) 사하구국민체육센터 3층 사하체력인증센터
17,부산,남구(부산)체력인증센터,051-626-8215,부산광역시 남구 백운포로 110  (용호동) 남구국민체육센터 3층 ( 남구체력인증센터)
18,대구,KSPO대구체력인증센터,053-716-7336,대구광역시 수성구 미술관로 88  (삼덕동) 육상진흥센터 1층 대구체력인증센터
19,대구,달서체력인증센터,053-634-8602,대구광역시 달서구 갈밭남로 76  (도원동) 월배국민체육센터 내 1층 달서체력인증센터
20,대구,KSPO대구(출장A),053-716-7336,대구광역시 수성구 미술관로 88  (삼덕동) 육상진흥센터 1층 대구체력인증센터
21,대구,KSPO대구(출장B),053-716-7336,대구광역시 수성구 미술관로 88  (삼덕동) 육상진흥센터 1층 대구체력인증센터
22,인천,미추홀체력인증센터,032-888-1102,인천광역시 미추홀구 경인로42번길 57  (숭의동) 3층 체력인증센터
