"년도","분기","지역","방문외국인수"
"2018","1","명동","66254"
"2018","1","동대문","35091"
"2018","1","종로","94013"
"2018","1","이태원","148483"
"2018","1","잠실","57089"
"2018","2","명동","79408"
"2018","2","동대문","42058"
"2018","2","종로","112678"
"2018","2","이태원","177962"
"2018","2","잠실","68423"
"2018","3","명동","79560"
"2018","3","동대문","42138"
"2018","3","종로","112893"
"2018","3","이태원","178302"
"2018","3","잠실","68553"
"2018","4","명동","88861"
"2018","4","동대문","47065"
"2018","4","종로","126091"
"2018","4","이태원","199147"
"2018","4","잠실","76568"
"2019","1","명동","64532"
"2019","1","동대문","43833"
"2019","1","종로","111105"
"2019","1","이태원","170462"
"2019","1","잠실","74273"
"2019","2","명동","81704"
"2019","2","동대문","55497"
"2019","2","종로","140669"
"2019","2","이태원","215821"
"2019","2","잠실","94036"
"2019","3","명동","77358"
"2019","3","동대문","52545"
"2019","3","종로","133187"
"2019","3","이태원","204341"
"2019","3","잠실","89034"
"2019","4","명동","82371"
"2019","4","동대문","55950"
"2019","4","종로","141818"
"2019","4","이태원","217583"
"2019","4","잠실","94804"
"2020","1","명동","35078"
"2020","1","동대문","23803"
"2020","1","종로","59977"
"2020","1","이태원","94271"
"2020","1","잠실","38836"
"2020","2","명동","470"
"2020","2","동대문","319"
"2020","2","종로","804"
"2020","2","이태원","1264"
"2020","2","잠실","521"
"2020","3","명동","716"
"2020","3","동대문","486"
"2020","3","종로","1225"
"2020","3","이태원","1925"
"2020","3","잠실","793"
"2020","4","명동","773"
"2020","4","동대문","525"
"2020","4","종로","1322"
"2020","4","이태원","2078"
"2020","4","잠실","856"
"2021","1","명동","683"
"2021","1","동대문","462"
"2021","1","종로","1160"
"2021","1","이태원","1791"
"2021","1","잠실","709"
"2021","2","명동","1064"
"2021","2","동대문","720"
"2021","2","종로","1807"
"2021","2","이태원","2791"
"2021","2","잠실","1105"
"2021","3","명동","1389"
"2021","3","동대문","940"
"2021","3","종로","2358"
"2021","3","이태원","3642"
"2021","3","잠실","1441"
"2021","4","명동","1905"
"2021","4","동대문","1289"
"2021","4","종로","3235"
"2021","4","이태원","4996"
"2021","4","잠실","1978"
