"년도","분기","관광특구","매출금액","점포수","점포당매출금액","유동인구","방문외국인수"
2018,1,"동대문패션타운",1827591319,36,50766425.5277778,2098132,"35091"
2018,1,"명동 남대문 북창동 다동 무교동",6370072711,87,73219226.5632184,5199642,"66254"
2018,1,"이태원",10619989988,120,88499916.5666667,3550974,"148483"
2018,1,"잠실",6771393545,74,91505318.1756757,4678668,"57089"
2018,1,"종로 청계",11654616840,130,89650898.7692308,3241392,"94013"
2018,2,"동대문패션타운",1949346287,35,55695608.2,2220530,"42058"
2018,2,"명동 남대문 북창동 다동 무교동",6310336884,84,75123058.1428571,5094720,"79408"
2018,2,"이태원",11526701629,114,101111417.798246,3996365,"177962"
2018,2,"잠실",7766029725,70,110943281.785714,4724028,"68423"
2018,2,"종로 청계",12027959423,124,96999672.766129,3298911,"112678"
2018,3,"동대문패션타운",2159162144,33,65429155.8787879,2131116,"42138"
2018,3,"명동 남대문 북창동 다동 무교동",6477262568,83,78039308.0481928,4770297,"79560"
2018,3,"이태원",10626126753,108,98390062.5277778,3669328,"178302"
2018,3,"잠실",8125660924,69,117763201.797101,4361040,"68553"
2018,3,"종로 청계",12186002592,114,106894759.578947,3361743,"112893"
2018,4,"동대문패션타운",2783451661,29,95981091.7586207,2156766,"47065"
2018,4,"명동 남대문 북창동 다동 무교동",10764965359,84,128154349.511905,4892619,"88861"
2018,4,"이태원",20416606270,104,196313521.826923,3821725,"199147"
2018,4,"잠실",10670348447,69,154642731.115942,4595022,"76568"
2018,4,"종로 청계",17843596012,113,157907929.309735,3407943,"126091"
2019,1,"동대문패션타운",1631185483,29,56247775.2758621,1983486,"43833"
2019,1,"명동 남대문 북창동 다동 무교동",5680020149,81,70123705.5432099,4578462,"64532"
2019,1,"이태원",8029110117,97,82774331.1030928,3582834,"170462"
2019,1,"잠실",6034445228,70,86206360.4,4382100,"74273"
2019,1,"종로 청계",7933730600,109,72786519.266055,3323628,"111105"
2019,2,"동대문패션타운",1595373434,29,55012877.0344828,2031252,"55497"
2019,2,"명동 남대문 북창동 다동 무교동",5122152391,78,65668620.3974359,4711137,"81704"
2019,2,"이태원",7622654362,92,82854938.7173913,3676821,"215821"
2019,2,"잠실",6065840119,67,90534927.1492537,4369464,"94036"
2019,2,"종로 청계",7138684316,110,64897130.1454545,3217830,"140669"
2019,3,"동대문패션타운",1564756630,29,53957125.1724138,1981700,"52545"
2019,3,"명동 남대문 북창동 다동 무교동",5136379591,75,68485061.2133333,4894794,"77358"
2019,3,"이태원",7389906916,84,87975082.3333333,3541298,"204341"
2019,3,"잠실",6110487282,66,92583140.6363636,4117122,"89034"
2019,3,"종로 청계",7780760633,103,75541365.368932,3147144,"133187"
2019,4,"동대문패션타운",1689468232,26,64979547.3846154,1988958,"55950"
2019,4,"명동 남대문 북창동 다동 무교동",6313596917,73,86487629,4947081,"82371"
2019,4,"이태원",7940239976,84,94526666.3809524,3743786,"217583"
2019,4,"잠실",6405806985,59,108572999.745763,4178358,"94804"
2019,4,"종로 청계",9933179331,100,99331793.31,3191727,"141818"
2020,1,"동대문패션타운",1299616917,26,49985266.0384615,1735422,"23803"
2020,1,"명동 남대문 북창동 다동 무교동",4641483256,80,58018540.7,3883158,"35078"
2020,1,"이태원",5785496574,111,52121590.7567568,3115672,"94271"
2020,1,"잠실",5508586013,61,90304688.7377049,3449196,"38836"
2020,1,"종로 청계",6642949626,112,59312050.2321429,3034416,"59977"
2020,2,"동대문패션타운",1486176768,26,57160644.9230769,1427774,"319"
2020,2,"명동 남대문 북창동 다동 무교동",5797125431,74,78339532.8513514,3528459,"470"
2020,2,"이태원",2939663300,101,29105577.2277228,3151426,"1264"
2020,2,"잠실",6306336245,58,108729935.258621,3427056,"521"
2020,2,"종로 청계",6568033246,100,65680332.46,2994915,"804"
2020,3,"동대문패션타운",1274217107,26,49008350.2692308,1398742,"486"
2020,3,"명동 남대문 북창동 다동 무교동",5119568785,71,72106602.6056338,3448506,"716"
2020,3,"이태원",2478665642,98,25292506.5510204,2921031,"1925"
2020,3,"잠실",5278642490,54,97752638.7037037,3241566,"793"
2020,3,"종로 청계",5642058872,100,56420588.72,2967426,"1225"
2020,4,"동대문패션타운",1058076788,24,44086532.8333333,1450232,"525"
2020,4,"명동 남대문 북창동 다동 무교동",4425497497,70,63221392.8142857,3345411,"773"
2020,4,"이태원",2524276084,88,28684955.5,2954661,"2078"
2020,4,"잠실",4513957544,55,82071955.3454545,3176712,"856"
2020,4,"종로 청계",4152856678,94,44179326.3617021,2925846,"1322"
2021,1,"동대문패션타운",837830340,24,34909597.5,1450042,"462"
2021,1,"명동 남대문 북창동 다동 무교동",3591143802,68,52810938.2647059,2910369,"683"
2021,1,"이태원",1527956512,83,18409114.6024096,3021624,"1791"
2021,1,"잠실",3070370444,56,54828043.6428571,2838608,"709"
2021,1,"종로 청계",2571862937,90,28576254.8555556,3195597,"1160"
2021,2,"동대문패션타운",1073470546,25,42938821.84,1571642,"720"
2021,2,"명동 남대문 북창동 다동 무교동",4923432823,65,75745120.3538461,2967426,"1064"
2021,2,"이태원",2281158080,82,27819000.9756098,3304854,"2791"
2021,2,"잠실",4336481530,56,77437170.1785714,3056849,"1105"
2021,2,"종로 청계",4214283712,89,47351502.3820225,3481566,"1807"
2021,3,"동대문패션타운",1060814861,25,42432594.44,1592276,"940"
2021,3,"명동 남대문 북창동 다동 무교동",3398108817,64,53095450.265625,2998149,"1389"
2021,3,"이태원",1434400504,78,18389750.0512821,2966922,"3642"
2021,3,"잠실",3009513163,55,54718421.1454545,2813120,"1441"
2021,3,"종로 청계",2509529772,85,29523879.6705882,3183591,"2358"
2021,4,"동대문패션타운",1158636034,22,52665274.2727273,1844140,"1289"
2021,4,"명동 남대문 북창동 다동 무교동",4941045138,63,78429287.9047619,3336102,"1905"
2021,4,"이태원",3719243221,71,52383707.3380282,3286710,"4996"
2021,4,"잠실",5566115078,52,107040674.576923,3109182,"1978"
2021,4,"종로 청계",5061517346,84,60256158.8809524,3706461,"3235"
